name	type	time
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.677310
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.745431
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.530400
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.594231
ary 300000	greedy	1.333329
ary 300000	pbqp	1.491030
ackermann 12	greedy	4.182191
ackermann 12	pbqp	4.245701
chameneos 200000	greedy	4.844243
chameneos 200000	pbqp	4.886281
echo 200000	greedy	5.217652
echo 200000	pbqp	5.245514
fannkuch 11	greedy	1.180967
fannkuch 11	pbqp	1.119236
except 2000000	greedy	3.604426
except 2000000	pbqp	3.596545
fibo 44	greedy	4.933574
fibo 44	pbqp	4.624952
harmonic 1500000000	greedy	6.047617
harmonic 1500000000	pbqp	6.021225
hash2 3000	greedy	3.583842
hash2 3000	pbqp	3.812909
heapsort 50000000	greedy	22.985808
heapsort 50000000	pbqp	22.315814
raytracer 500	greedy	9.710382
raytracer 500	pbqp	10.349034
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.712758
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.812868
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.641945
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.565660
